#{"t_start": 1708701891.718752, "env_id": "CustomHopper-source-v0"}
r,l,t
9.463731,11,1.036069
7.973986,22,1.062118
24.064017,20,1.086277
7.852587,11,1.100152
8.270785,19,1.126163
10.038334,29,1.159767
8.018684,11,1.174196
7.386447,13,1.198406
15.849426,15,1.222566
9.776599,28,1.27523
4.724924,9,1.287011
15.435774,18,1.308697
7.382117,12,1.324073
20.939085,22,1.350938
4.486498,12,1.366329
57.083149,52,1.427646
11.774944,20,1.451392
4.858978,10,1.464557
7.770432,10,1.476877
35.288589,29,1.51609
27.810214,20,1.540352
25.751899,23,1.567606
3.988148,21,1.592432
3.119912,14,1.609855
5.851515,8,1.62154
4.038526,15,1.639782
30.522818,25,1.673566
8.087936,11,1.687109
65.559084,43,1.741047
5.997967,9,1.753866
8.987397,12,1.775996
4.440175,17,1.803994
10.980108,19,1.82977
7.725369,11,1.843102
112.015795,61,1.911095
12.465086,15,1.930099
5.465582,18,1.95151
21.941081,33,1.991925
8.386507,11,2.005272
6.912667,9,2.01786
12.956051,20,2.042235
4.484601,17,2.062777
7.806595,11,2.076474
33.277104,27,2.107747
6.998861,10,2.120501
8.122145,10,2.13312
6.429416,9,2.144446
9.063437,13,2.160194
15.246654,16,2.180339
5.264769,19,2.20351
5.326583,10,2.216352
22.320786,19,2.240472
8.109744,23,2.270238
41.972263,42,2.319334
10.7294,14,2.337156
6.843983,18,2.358571
3.735484,14,2.37533
11.06247,28,2.414558
13.333069,15,2.433038
18.285747,19,2.455275
9.273385,16,2.474212
10.839549,13,2.489634
16.644635,20,2.514816
6.535861,12,2.530167
2.729535,10,2.546007
14.778786,23,2.572208
22.986983,23,2.598802
24.31794,29,2.633143
31.398035,26,2.662607
25.296641,25,2.69196
10.592991,16,2.710853
11.311232,16,2.730378
5.360399,10,2.742763
3.718949,7,2.752555
9.656471,11,2.767754
7.495111,12,2.783966
6.528249,12,2.798816
5.253779,11,2.81227
10.504859,26,2.84342
15.069555,26,2.873043
25.974942,22,2.898647
13.502586,21,2.92385
4.324938,13,2.939671
11.186348,12,2.954312
8.440546,17,2.974787
9.783708,16,3.001016
7.687205,14,3.021807
4.692804,8,3.033077
5.626682,9,3.044455
15.830045,17,3.064508
8.293139,13,3.080422
15.892128,23,3.107647
17.796635,18,3.129388
7.08289,10,3.141838
5.216327,10,3.154175
5.591785,14,3.171374
5.706362,10,3.184773
24.434858,22,3.211935
8.564646,19,3.235241
23.224043,31,3.27561
9.116363,14,3.299283
9.956886,12,3.317773
20.712757,26,3.360342
8.21273,13,3.379962
4.657487,28,3.412334
6.48148,12,3.42756
11.251647,20,3.451107
7.566617,12,3.465571
3.612197,12,3.480315
12.696871,23,3.51462
22.397283,33,3.556646
17.937767,32,3.599815
30.081406,36,6.073872
150.21661,71,6.1875
12.58924,21,6.212758
9.548541,14,6.230153
9.918663,13,6.246799
133.729537,78,6.354604
7.093953,12,6.373557
10.633872,15,6.398816
10.455161,17,6.426922
10.005816,35,6.497746
19.174832,30,6.544982
8.056395,11,6.568951
13.097007,16,6.6063
29.870198,35,6.656321
17.126391,20,6.695257
13.554736,20,6.73051
19.666227,18,6.762598
17.094711,18,6.78564
46.501554,34,6.824985
15.2229,37,6.879431
140.83836,83,6.992668
5.833157,9,7.004064
28.729581,31,7.043817
3.99477,15,7.061826
10.437377,12,7.076664
15.453651,16,7.095983
12.079549,23,7.124113
13.944561,22,7.149804
6.410547,9,7.161023
32.647704,26,7.199148
17.380024,25,7.232974
82.483806,50,7.307654
73.070778,46,7.381885
7.0575,13,7.403261
39.098706,27,7.439573
17.43237,17,7.462156
12.07804,16,7.496166
22.624123,22,7.537905
8.685836,10,7.552162
8.899289,12,7.568715
3.398251,18,7.608165
12.226548,18,7.665252
9.738779,37,7.78277
10.334393,13,7.813614
89.66956,61,7.908585
13.326716,18,7.930721
23.639273,23,7.959358
45.245516,44,8.014378
12.361677,15,8.033874
27.082268,24,8.063017
19.706501,21,8.100218
35.997771,29,8.143548
32.886403,32,8.195266
44.698806,33,8.237826
22.271024,26,8.270854
149.808522,69,8.402711
54.18347,38,8.460918
70.419426,43,8.525379
11.608519,12,8.543432
17.827772,21,8.571772
10.550343,13,8.589635
7.211519,10,8.604784
79.770231,50,8.683998
7.596563,16,8.705989
9.839747,22,8.739305
7.491947,29,8.795865
25.213457,24,8.828403
48.938594,36,8.901283
18.255025,25,8.938047
15.261662,16,8.95908
10.705713,14,8.975927
32.842494,30,9.020374
21.273052,23,9.058344
9.382647,13,9.085134
8.211086,21,9.126937
9.378887,12,9.145611
3.610554,14,9.168462
20.309391,39,9.239123
109.433973,72,12.01702
13.410897,29,12.053275
34.373821,24,12.081577
104.429747,55,12.173027
22.700458,21,12.222815
19.324941,19,12.26905
82.289585,46,12.382313
14.275203,18,12.411604
22.745003,21,12.447571
151.414027,80,12.561295
38.491582,40,12.625599
204.584422,103,12.763111
76.908726,46,12.829079
150.576346,92,13.029434
9.795433,21,13.083569
24.571524,24,13.145858
106.886007,59,13.251765
8.118639,11,13.265594
162.435115,76,13.354294
30.035993,28,13.387677
15.980844,32,13.432034
38.286311,30,13.471271
26.67319,28,13.504704
11.988245,30,13.540519
112.309696,59,13.608085
5.165143,10,13.621492
58.498586,40,13.678928
93.397811,49,13.751551
10.268246,19,13.78261
144.079661,74,13.880136
19.973384,20,13.903978
42.348687,32,13.951314
5.81221,10,13.96469
12.821326,19,13.987616
73.599265,45,14.045322
11.862987,20,14.081151
10.003108,18,14.103781
66.339354,39,14.163995
16.631881,16,14.190223
36.580233,31,14.23836
12.787934,16,14.267902
6.575863,12,14.287343
23.407466,28,14.330982
8.329039,12,14.350396
60.578904,35,14.401638
65.852979,44,14.462292
55.260941,38,14.508706
78.450248,47,14.563671
25.45317,27,14.606897
39.348232,29,14.642636
102.175682,56,14.707116
11.612237,12,14.72316
10.351946,13,14.74942
27.03549,20,14.796797
12.081492,13,14.817608
129.618623,78,14.925594
92.95584,54,15.032847
15.607297,21,15.068857
45.631642,31,17.408879
137.964435,69,17.485795
247.48599,137,17.736503
100.375798,53,17.817262
108.37755,55,17.884055
67.96858,38,17.931988
68.446791,38,17.999113
205.867721,117,18.18525
10.075635,15,18.208755
4.69715,11,18.2331
43.508008,31,18.293543
31.684383,27,18.340149
201.599768,97,18.487033
108.049467,57,18.564006
57.262371,48,18.66496
102.326727,59,18.737858
136.639742,76,18.843052
7.61206,12,18.858587
148.694769,77,18.964506
39.455215,26,19.007816
58.061541,34,19.066837
90.546119,54,19.156751
61.456461,36,19.216993
142.027532,74,19.318515
144.950165,69,19.435726
155.534332,75,19.588744
36.560797,27,19.623191
25.234765,23,19.657812
44.463492,33,19.700087
87.184853,49,19.763908
224.620663,104,19.902264
213.703598,106,20.055425
141.425286,77,20.163939
208.061529,102,20.307999
46.356215,45,20.361549
19.980692,23,20.389172
33.898548,24,20.41832
53.209792,37,20.469564
91.379045,56,22.95711
13.802687,14,22.979873
47.699621,27,23.016681
106.641662,55,23.094648
161.844712,76,23.194127
51.779338,30,23.235277
103.071151,55,23.302178
226.215493,105,23.424305
249.569335,122,23.568518
104.491585,64,23.668862
164.761545,77,23.761761
157.542314,87,23.868148
158.328673,76,23.956332
105.544044,62,24.031781
128.135448,66,24.115605
171.014166,83,24.241012
162.377812,80,24.350313
218.929943,111,24.507612
168.7283,80,24.609233
68.033778,43,24.663299
284.656538,130,24.840035
125.196075,72,24.924687
176.342698,93,25.045114
231.354334,113,25.205175
146.22172,85,25.30604
42.007961,33,25.350373
108.797705,60,25.431055
290.01211,138,27.821836
125.762828,70,27.917485
98.842272,56,27.989202
224.316587,109,28.129177
211.100602,107,28.267668
200.926688,121,28.446359
97.723314,53,28.507843
306.17404,142,28.679689
131.368839,70,28.764948
243.60059,108,28.893415
252.602479,106,29.015957
72.667034,42,29.066171
140.45026,72,29.160093
150.782585,78,29.278672
64.080967,36,29.328306
76.685856,47,29.389612
180.916228,84,29.502145
201.748674,95,29.635221
47.447191,27,29.672727
206.493436,94,29.801366
68.029845,41,29.858251
137.363698,73,29.959978
130.384083,67,30.04547
70.826328,41,30.102435
211.938791,99,30.239947
104.474516,55,30.315418
227.813593,105,30.465967
138.95156,78,32.694796
191.948816,91,32.814901
225.084284,111,32.961889
301.838554,122,33.17834
80.044961,45,33.238932
184.160308,101,33.370054
96.344936,59,33.457423
122.402935,70,33.551388
177.386565,84,33.667105
237.66759,105,33.812
279.112734,109,33.957087
210.079441,100,34.088878
214.521586,112,34.244531
115.437525,63,34.32234
205.743595,109,34.458407
236.048107,111,34.592954
116.484447,67,34.705262
231.998014,119,34.870402
109.090989,57,34.938726
190.996062,92,35.050403
213.327987,97,35.17851
210.300913,95,35.298244
139.847232,69,37.554767
266.530474,117,37.694777
182.855271,90,37.800748
103.583196,60,37.873518
217.875204,98,37.988832
125.241817,67,38.071039
235.033768,106,38.219404
240.288636,105,38.351488
214.973579,97,38.474426
128.87416,73,38.574303
259.647564,131,38.752824
213.315209,107,38.915298
212.451588,101,39.038743
220.055643,103,39.177688
228.812452,99,39.301787
165.658354,85,39.404573
316.060436,124,39.55258
94.163979,56,39.618658
147.66559,71,39.708057
214.013684,113,39.83847
290.168398,118,39.972061
217.123008,104,40.088295
232.418819,108,42.36115
207.222476,94,42.485212
176.446178,85,42.597913
92.810122,51,42.669657
219.127448,106,42.810846
233.19865,105,42.956305
275.973739,104,43.108518
213.003275,100,43.24675
259.374527,114,43.376082
235.279037,104,43.495933
238.511794,99,43.609868
215.070671,100,43.728634
183.927324,80,43.836167
259.86376,107,43.961551
209.672619,89,44.063631
207.348081,92,44.173553
210.463086,100,44.311704
251.060368,105,44.447514
236.34565,101,44.5761
224.848322,101,44.713157
221.999901,93,44.839447
203.652382,87,47.037995
240.940994,102,47.179268
194.686034,87,47.309303
261.950964,109,47.480272
222.525369,110,47.655118
288.504176,127,47.819582
124.497967,64,47.900671
176.941899,82,48.000804
240.860705,104,48.134717
223.959211,106,48.276378
222.234556,104,48.425613
202.965541,95,48.558219
217.386884,95,48.673976
208.806898,93,48.790576
144.025763,72,48.879985
175.084463,88,48.986754
227.196029,119,49.133276
241.036924,100,49.289958
219.117537,96,49.403582
237.380373,104,49.52591
220.573373,117,49.683007
308.106575,118,52.094722
210.757298,95,52.300335
285.282993,115,52.439658
262.737163,111,52.567734
251.358317,108,52.698783
265.406834,112,52.835099
73.461934,45,52.964494
280.317433,127,53.151032
231.751595,107,53.279774
269.247314,124,53.430704
