#{"t_start": 1708876726.618839, "env_id": "CustomHopper-target-v0"}
r,l,t
214.424647,99,21.691116
214.377444,99,21.796978
215.003378,99,21.881151
215.001819,99,21.965136
216.73924,100,22.063197
212.423005,98,22.170961
214.498836,99,22.291713
216.708429,100,22.464719
215.315243,99,22.558482
214.963548,99,22.65324
214.848244,99,22.746685
214.763718,99,22.922472
216.576837,100,23.100972
217.016469,100,23.28454
214.594232,99,23.377758
216.980554,100,23.465847
216.948091,100,23.558854
214.639024,99,23.689805
215.054195,99,23.897195
217.21015,100,24.1178
214.529487,99,24.234334
214.521426,99,24.346906
212.542226,98,24.451162
214.790071,99,24.574082
216.945143,100,24.748457
214.518125,99,24.894553
214.816673,99,25.006778
212.697056,98,25.120695
214.935379,99,25.223524
216.135885,100,25.322325
214.521891,99,25.420874
216.983379,100,25.517061
214.868896,99,25.616956
217.003423,100,25.710057
214.365185,99,25.802693
216.640796,100,25.897221
217.016581,100,26.006727
214.559238,99,26.107562
216.993289,100,26.200664
214.719625,99,26.28828
214.653101,99,26.389399
216.84999,100,26.488296
214.573102,99,26.576631
216.890705,100,26.662391
214.808729,99,26.768533
214.891441,99,26.866333
215.123899,99,26.965699
216.929021,100,27.067935
216.73423,100,27.16824
214.493232,99,27.266622
