#{"t_start": 1708438270.7117693, "env_id": "CustomHopper-source-v0"}
r,l,t
1723.734272,500,0.270045
1741.971315,500,0.554145
1722.290075,500,0.800488
1593.173271,446,1.046786
1761.63676,500,1.35192
1703.91803,500,1.63186
1760.187642,500,1.926735
1759.884395,500,2.205836
1719.343448,500,2.471264
1780.942101,500,2.752666
1771.348452,500,3.034793
1699.930646,500,3.374425
1730.594199,500,3.660023
1775.733064,500,3.92686
1752.038326,500,4.201182
1757.808257,500,4.479419
1774.489533,500,4.761337
1749.555675,500,5.007171
1748.423358,500,5.264047
1761.743425,500,5.525413
1773.665945,500,5.782913
1703.455031,500,6.036556
1770.604284,500,6.289585
1725.818519,500,6.647523
1771.970397,500,7.022068
1746.595837,500,7.390381
1614.094083,455,7.739831
1602.280012,445,7.987661
1769.828771,500,8.274318
1725.268523,481,8.707085
1734.515832,500,9.026574
1777.608877,500,9.304967
1590.971093,446,9.601199
1772.444331,500,9.970678
1763.831327,500,10.257534
1752.357535,500,10.524324
1769.511281,500,10.840055
1770.908979,500,11.199615
1755.968433,500,11.612907
1715.924921,500,11.966409
1770.973383,500,12.23884
1765.021708,500,12.500163
1722.605712,500,12.753642
1656.601671,467,12.991936
1756.890088,500,13.243605
1614.004071,452,13.481315
1668.807472,470,13.731513
1509.858259,421,13.968926
1738.343419,500,14.224449
1778.40777,493,14.481985
1765.215961,500,14.732395
1762.799004,500,14.989515
1724.632998,500,15.247405
1728.615882,500,15.507166
1783.724618,500,15.763939
1781.733047,500,16.036526
1801.064462,500,16.299695
1698.526151,500,16.555287
1765.024031,500,16.808311
1753.82729,500,17.067598
1751.460865,500,17.321598
1738.89688,500,17.581627
1750.493706,500,17.835268
1749.768051,500,18.111448
1768.819891,491,18.361434
1768.156503,500,18.620051
1732.633992,500,18.874589
1707.054634,500,19.131286
1751.136956,500,19.385895
1763.778451,500,19.64278
1620.617002,457,19.875229
1717.984575,500,20.15158
1778.017486,500,20.401811
1743.481548,500,20.665449
1781.67083,500,20.91554
1753.899854,500,21.182052
1749.793562,500,21.433228
1767.452422,500,21.698136
1765.929405,500,21.950546
1610.564101,454,22.201339
1770.584847,500,22.457866
1646.374744,464,22.702257
1744.054133,500,22.95853
1701.024856,500,23.216896
1807.778485,500,23.479297
1751.617484,500,23.737593
1767.287556,500,23.998314
1749.963816,500,24.275846
1768.301784,500,24.536008
1704.243622,500,24.800825
1748.591541,500,25.06175
1771.759782,500,25.319213
1748.232949,500,25.577758
1739.334593,500,25.836184
1743.222102,500,26.096445
1771.790522,500,26.366236
1751.145432,500,26.63489
1712.44393,500,26.887083
1721.693888,500,27.165869
1776.497341,500,27.41654
