#{"t_start": 1708438848.488317, "env_id": "CustomHopper-source-v0"}
r,l,t
1723.734272,500,0.246934
1741.971315,500,0.495444
1722.290075,500,0.735763
1593.173271,446,0.969648
1761.63676,500,1.264731
1703.91803,500,1.542891
1760.187642,500,1.796806
1759.884395,500,2.056325
1719.343448,500,2.334706
1780.942101,500,2.600461
1771.348452,500,2.844893
1699.930646,500,3.094053
1730.594199,500,3.350873
1775.733064,500,3.598901
1752.038326,500,3.846799
1757.808257,500,4.103731
1774.489533,500,4.347657
1749.555675,500,4.591272
1748.423358,500,4.851151
1761.743425,500,5.094864
1773.665945,500,5.358217
1703.455031,500,5.608716
1770.604284,500,5.855257
1725.818519,500,6.098356
1771.970397,500,6.340153
1746.595837,500,6.588796
1614.094083,455,6.810391
1602.280012,445,7.026622
1769.828771,500,7.273098
1725.268523,481,7.527237
1734.515832,500,7.774781
1777.608877,500,8.018144
1590.971093,446,8.256422
1772.444331,500,8.532328
1763.831327,500,8.808347
1752.357535,500,9.094285
1769.511281,500,9.366759
1770.908979,500,9.663023
1755.968433,500,9.954462
1715.924921,500,10.237834
1770.973383,500,10.510947
1765.021708,500,10.804152
1722.605712,500,11.08932
1656.601671,467,11.325622
1756.890088,500,11.627335
1614.004071,452,11.882136
1668.807472,470,12.142075
1509.858259,421,12.383337
1738.343419,500,12.662949
1778.40777,493,12.909548
1765.215961,500,13.163468
1762.799004,500,13.493829
1724.632998,500,13.86276
1728.615882,500,14.181831
1783.724618,500,14.444205
1781.733047,500,14.719238
1801.064462,500,14.978741
1698.526151,500,15.247336
1765.024031,500,15.521715
1753.82729,500,15.816813
1751.460865,500,16.100471
1738.89688,500,16.37046
1750.493706,500,16.71283
1749.768051,500,17.057762
1768.819891,491,17.439811
1768.156503,500,17.757454
1732.633992,500,18.06365
1707.054634,500,18.386981
1751.136956,500,18.772859
1763.778451,500,19.051197
1620.617002,457,19.349372
1717.984575,500,19.691109
1778.017486,500,20.016635
1743.481548,500,20.274371
1781.67083,500,20.548836
1753.899854,500,20.84353
1749.793562,500,21.101338
1767.452422,500,21.36805
1765.929405,500,21.653392
1610.564101,454,21.918573
1770.584847,500,22.202165
1646.374744,464,22.445412
1744.054133,500,22.730163
1701.024856,500,23.012882
1807.778485,500,23.273245
1751.617484,500,23.526956
1767.287556,500,23.780813
1749.963816,500,24.047197
1768.301784,500,24.310194
1704.243622,500,24.596246
1748.591541,500,24.87108
1771.759782,500,25.125582
1748.232949,500,25.378639
1739.334593,500,25.628998
1743.222102,500,25.888102
1771.790522,500,26.192288
1751.145432,500,26.476908
1712.44393,500,26.747887
1721.693888,500,27.028208
1776.497341,500,27.306018
