#{"t_start": 1708871264.4093897, "env_id": "CustomHopper-target-v0"}
r,l,t
93.066839,51,0.039277
99.556035,54,0.082897
97.641364,53,0.116985
92.917667,51,0.150575
95.823673,52,0.185084
102.193185,55,0.221442
90.763012,50,0.255747
90.633399,50,0.289921
92.980636,51,0.323488
95.401752,52,0.358101
94.942943,52,0.393004
97.798073,53,0.427915
90.651891,50,0.460679
97.474101,53,0.49626
92.600623,51,0.53058
92.974465,51,0.563988
90.441717,50,0.607395
99.830775,54,0.64779
93.243731,51,0.682101
95.329467,52,0.716
95.327229,52,0.750042
90.717288,50,0.78283
95.43586,52,0.816765
97.690733,53,0.857049
92.852359,51,0.891343
95.047318,52,0.925038
95.126172,52,0.959263
92.5048,51,0.99293
99.364319,54,1.027089
92.775078,51,1.060051
99.564603,54,1.095376
90.462019,50,1.127807
94.784886,52,1.162862
95.328303,52,1.196906
99.825877,54,1.233047
95.550269,52,1.266973
97.308931,53,1.301495
99.739353,54,1.336631
99.626904,54,1.372018
92.816348,51,1.405221
100.013938,54,1.440009
95.205665,52,1.476264
95.176344,52,1.511107
92.785458,51,1.559402
92.994215,51,1.595084
97.990666,53,1.631609
90.262608,50,1.667074
93.066033,51,1.699895
97.749137,53,1.733358
97.832214,53,1.768611
