#{"t_start": 1708876726.6184924, "env_id": "CustomHopper-target-v0"}
r,l,t
90.445678,50,15.495522
90.540821,50,15.553909
99.756627,54,15.618727
94.738096,52,15.674536
90.777488,50,15.732579
102.140353,55,15.792767
102.304501,55,15.855474
92.679132,51,15.941703
92.746319,51,16.005616
92.801226,51,16.076882
95.431775,52,16.139634
95.019156,52,16.205563
92.973625,51,16.268991
93.003521,51,16.324751
95.222038,52,16.382668
97.792106,53,16.438142
95.544657,52,16.501218
97.300951,53,16.555094
93.558301,51,16.611987
98.058693,53,16.671309
97.580384,53,16.731723
97.503636,53,16.785565
95.168313,52,16.833224
95.972608,52,16.883932
95.231111,52,16.930916
97.522726,53,16.978869
90.157731,50,17.021063
102.128378,55,17.070112
99.703594,54,17.115625
91.062116,50,17.159223
99.823908,54,17.205441
90.346542,50,17.25889
92.711232,51,17.302496
95.030701,52,17.348851
103.816875,56,17.397908
97.915413,53,17.47973
95.138517,52,17.583118
97.811577,53,17.645605
92.185723,51,17.697683
92.571272,51,17.754545
90.673697,50,17.798028
97.716607,53,17.896272
95.151448,52,17.997972
102.215086,55,18.065399
95.798452,52,18.123771
95.452785,52,18.180942
97.24285,53,18.241302
90.274582,50,18.289255
99.960306,54,18.339211
95.37712,52,18.388768
